!SIL	sil
<UNK>	sil
ការកែច្នៃ	k aː k aɛ cʰ n ai
ការច្នៃប្រឌិត	k aː cʰ n ai p r ɑː d i t
ការច្នៃ	k aː cʰ n ai
កែច្នៃ	k aɛ cʰ n ai
ច្នាប់	cʰ n a p
ច្នឹង	cʰ n ɜ ŋ
ច្នុះ	cʰ n o h
ច្នេះ	cʰ n ɛe h
ច្នៃ	cʰ n ai
ច្នោះ	cʰ n ɑ h
ច្បាំងគ្នា	cʰ b a ŋ kʰ n iɜ
ជ្វាលា	cʰ β̞ iɜ l iɜ
ជ្វា	cʰ β̞ iɜ
ដូច្នឹង	d oʊ c cʰ n ɜ ŋ
ដូច្នេះហើយ	d oʊ c cʰ n ɛe h h aɜ j
ដូច្នេះ	d oʊ c cʰ n ɛe h
ដូច្នោះ	d oʊ c cʰ n o h
ប្រភពច្បាស់ការ	p r ɑː pʰ ʋ p cʰ b a h k aː
ស្លាជ្វា	s l aː cʰ β̞ iɜ
ហេតុដូច្នេះ	h aɛ t d oʊ c cʰ n ɛe h
ការតែងច្បាប់	k aː t aɛ ɲ cʰ b a p
កំណត់ដោយច្បាប់	k ɑ m n ɑ t d aɔ j cʰ b a p
ក្បួនច្បាប់	kʰ b uɜ n cʰ b a p
ច្បង	cʰ b ɑː ŋ
ច្បាក់	cʰ b a ʔ
ច្បាច់	cʰ b a c
ច្បាប់ក្បួន	cʰ b a p kʰ b uɜ n
ច្បាប់ក្រម	cʰ b a p k r ɑ m
ច្បាប់គ្រឹះ	cʰ b a p k r ɘ h
ច្បាប់	cʰ b a p
ច្បាម	cʰ b aː m
ច្បារមន	cʰ b aː m ɔː n
ច្បារអំពៅ	cʰ b aː ʔ ɑ m p ɘɨ
ច្បារ	cʰ b aː
ច្បាស់ច្បង	cʰ b a h cʰ b ɑː ŋ
ច្បាស់ជាមួយ	cʰ b a h c iɜ m uɜ j
ច្បាស់ជា	cʰ b a h c iɜ
ច្បាស់លាស់	cʰ b a h l oă h
ច្បាស់	cʰ b a h
ច្បាំង	cʰ b a ŋ
ច្បា	cʰ b aː
ច្បិចច្បើម	cʰ b e c cʰ b aɜ m
ច្បិច	cʰ b e c
ច្បុច	cʰ b o c
ច្បូក	cʰ b oʊ k
ច្បូត	cʰ b oʊ t
ច្បើម	cʰ b aɜ m
ច្បែប	cʰ b aɛ p
ច្បោល	cʰ b aɔ l
ច្បោស	cʰ b aɔ h
ច្បោះ	cʰ b ɑ h
ជាក់ច្បាស់	c ɛă ʔ cʰ b a h
ពេបច្បែប	p eː p cʰ b aɛ p
ព្រាងច្បាប់	p r iɜ ŋ cʰ b a p
ព្រះច្បាប់	p r ɛă h cʰ b a p
ភាពជាក់ច្បាស់	pʰ iɜ p c ɛă ʔ cʰ b a h
ភាពស្របច្បាប់	pʰ iɜ p s r ɑː p cʰ b a p
រៀមច្បង	r iɜ m cʰ b ɑː ŋ
ល្មើសច្បាប់	l m ɘː h cʰ b a p
សូមច្បាប់	s oʊ m cʰ b a p
សួនច្បារ	s uɜ n cʰ b aː
អង្គច្បាប់	ʔ ɑ ŋ cʰ b a p
ដេញប្រយោគ	d e ɲ p r ɑː j oː k
ដេញប្រាជ្ញា	d e ɲ p r aː c ɲ aː
អ្នកដេញជើងគ្នា	n ɛă ʔ d e ɲ c ɘː ŋ kʰ n iɜ
ការចេញលិខិត	k aː c e ɲ l i kʰ e t
ការកេងបន្លំ	k aː k ɛe ɲ b ɑ n l ɑ m
កេងកង	k ɛe ɲ k ɑː ŋ
កេងកាង	k ɛe ɲ k aː ŋ
កេងចំណេញ	k ɛe ɲ c ɑ m n e ɲ
ក្រហេងក្រហូង	k r ɑː h ɛe ɲ k r ɑː h oʊ ŋ
ក្អេងក្អាង	k ʔ ɛe ɲ k ʔ aː ŋ
ក្អេងពោះទូក	k ʔ ɛe ɲ p uɜ h t uː k
ច្រងេងច្រងាង	c r ɑː ŋ ɛe ɲ c r ɑː ŋ aː ŋ
ណេងណូង	n ɛe ɲ n oʊ ŋ
តតេងតតាង	t ɑː t ɛe ɲ t ɑː t aː ŋ
តេងតាង	t ɛe ɲ t aː ŋ
បឹងកេងកង	b ɜ ŋ k ɛe ɲ k ɑː ŋ
ប៉េងឈាង	p ɛe ɲ cʰ iɜ ŋ
ប៉េងប៉ោះស្រោម	p ɛe ɲ p ɑ h s r aɔ m
ប៉េងប៉ោះ	p ɛe ɲ p ɑ h
ប៉េងហ្កាល	p ɛe ɲ h k aː l
ប៉េងហ្គាល់	p ɛe ɲ h k oă l
ប៉េងហ្គាល	p ɛe ɲ h k iɜ l
ផ្សេងទៀត	pʰ s ɛe ɲ t iɜ t
ព្រះសង្រេងសង្រៃ	p r ɛă h s ɑ ŋ r ɛe ɲ s ɑ ŋ r ai
យ៉េងឃី	j ɛe ɲ kʰ iː
រឆេងរឆូង	r ɔː cʰ ɛe ɲ r ɔː cʰ oʊ ŋ
របេងកូនក្រាញ់	r ɔː b ɛe ɲ k oʊ n k r a ɲ
រហេងរហាង	r ɔː h ɛe ɲ r ɔː h aː ŋ
សង្រេងសង្រៃ	s ɑ ŋ r ɛe ɲ s ɑ ŋ r ai
សេងផ្ទះឲ្យគេ	s ɛe ɲ pʰ t ɛă h ʔ aɔ j k eː
សេងហាក់	s ɛe ɲ h a ʔ
សំលេងឆ្នោត	s ɑ m l ɛe ɲ cʰ n aɔ t
ហេងហាង	h ɛe ɲ h aː ŋ
អេងឈាង	ʔ ɛe ɲ cʰ iɜ ŋ
អ័ររេងខូស	ʔ oa r ɛe ɲ kʰ oʊ h
ចេញមកពី	c e ɲ m ɔː ʔ p iː
ចេញមក	c e ɲ m ɔː ʔ
ចេញមុខ	c e ɲ m ʋ ʔ
ច្រេញច្រុញ	c r e ɲ c r o ɲ
បញ្ចេញចោល	b a ɲ c e ɲ c aɔ l
បញ្ចេញមតិ	b a ɲ c e ɲ m a t t e
របេញរបុញ	r ɔː b e ɲ r ɔː b o ɲ
រំដេញមាស	r ʋ m d e ɲ m iɜ h
ស្ញេញស្ញាញ	s ɲ e ɲ s ɲ aː ɲ
ចិញ្ចែង	c e ɲ c aɛ ɲ
កន្តិញកន្តុញ	k ɑ n t e ɲ k ɑ n t o ɲ
ការចិញ្ចឹម	k aː c e ɲ c ɜ m
ការចេញដំណើរ	k aː c e ɲ d ɑ m n aɜ
ការដាក់ដេញថ្លៃ	k aː d a ʔ d e ɲ tʰ l ai
ការដេញដោល	k aː d e ɲ d aɔ l
ការដេញថ្លៃ	k aː d e ɲ tʰ l ai
ការបណ្ដេញចេញ	k aː b ɑ n d e ɲ c e ɲ
ចចេញចចុញ	c ɑː c e ɲ c ɑː c o ɲ
ចាកចេញដំណើរ	c aː k c e ɲ d ɑ m n aɜ
ចិញ្ចាច	c e ɲ c aː c
ចិញ្ចឹមជីវិត	c e ɲ c ɜ m c iː β̞ i t
ចិញ្ចឹម	c e ɲ c ɜ m
ចិញ្ចើមផ្លូវ	c e ɲ c aɜ m pʰ l oʊ β̞
ចិញ្ចើម	c e ɲ c aɜ m
ចិញ្ចៀន	c e ɲ c iɜ n
ចិញ្ច្រាំ	c e ɲ c r a m
ចិញ្ជៀន	c e ɲ c iɜ n
ចេញចាក	c e ɲ c aː k
ចេញដីកា	c e ɲ d ɜi k aː
ចេញដំណើរ	c e ɲ d ɑ m n aɜ
ចេញថ្លៃបាយ	c e ɲ tʰ l ai b aː j
ចេញថ្លៃ	c e ɲ tʰ l ai
ចេញទូក	c e ɲ t uː k
ចេញទៅ	c e ɲ t ɘɨ
ចេញផុត	c e ɲ pʰ o t
ចេញផ្សាយ	c e ɲ pʰ s aː j
ចេញពី	c e ɲ p iː
ចេញមុន	c e ɲ m ʋ n
ញ៉ិញញ៉ុញ	ɲ e ɲ ɲ o ɲ
ដេញគំនិត	d e ɲ k ʋ m n i t
ដេញដោល	d e ɲ d aɔ l
ដេញថ្លៃ	d e ɲ tʰ l ai
ដេញសាសន៍	d e ɲ s a h
តិញតុញ	t e ɲ t o ɲ
បដិញ្ញា	p a ʔ d e ɲ ɲ aː
បរិញ្ញាបត្ររង	p a ʔ r e ɲ ɲ aː b a t r ɔː ŋ
បរិញ្ញាបត្រ	p a ʔ r e ɲ ɲ aː b a t
បរិញ្ញាប័ត្រ	p a ʔ r e ɲ ɲ aː b a t
បរិញ្ញា	p a ʔ r e ɲ ɲ aː
បាក់ចិញ្ចៀន	b a ʔ c e ɲ c iɜ n
បុព្វេនិវាសានុស្សតិញ្ញាណ	b o p p eː n i β̞ iɜ s aː n ʋ h s a ʔ t e ɲ ɲ iɜ n
របិញរបុញ	r ɔː b e ɲ r ɔː b o ɲ
សមណប្បដិញ្ញា	s a ʔ m a ʔ n a p p a ʔ d e ɲ ɲ aː
សួរដេញដោល	s uɜ d e ɲ d aɔ l
អាសិញ្ចនកម្ម	ʔ aː s e ɲ c a ʔ n a ʔ k a m
អាសិញ្ចន	ʔ aː s e ɲ c a ʔ n a ʔ
ការប្រកែកគ្នា	k aː p r ɑː c aɛ k kʰ n iɜ
ការជជែកពិភាក្សា	k aː c ɔː c ɛː c p i pʰ iɜ ʔ s aː
ក្តីរីករាយ	kʰ t ɜi r iː c r iɜ j
ក្សេត្រាធិការ	kʰ s ɛe t r aː tʰ i k aː
ចែកគ្នា	c aɛ c kʰ n iɜ
ចែកផ្លូវគ្នា	c aɛ c pʰ l oʊ β̞ kʰ n iɜ
ជជែកគ្នា	c ɔː c ɛː c kʰ n iɜ
ជីវបច្ចេកវិទ្យា	c iː β̞ ɛă ʔ p a c c ɛe k a ʔ β̞ i tʰ j iɜ
ថនិកសត្វ	tʰ a ʔ n i k a ʔ s a t
ទិដ្ឋធម្មិកប្រយោជន៍	t i t tʰ a ʔ tʰ oă m m i k a ʔ p r ɑː j aɔ c
ទ្វីគុណ	tʰ β̞ iː k ʋ n
ទ្វេគុណ	tʰ β̞ eː k ʋ n
ទ្វេគ្រាះ	tʰ β̞ eː k r iɜ h
និគ្រោធព្រឹក្ស	n i k r oː tʰ ɛă ʔ p r ɘ k
បច្ចេកវិទ្យា	p a c c ɛe k a ʔ β̞ i tʰ j iɜ
បែកចាកគ្នា	b aɛ c c aː k kʰ n iɜ
ប្រឋមសម្ពោធិកថា	p r ɑː tʰ ɑː m ɛă ʔ s ɑ m p oː tʰ i k a ʔ tʰ aː
ប្រេកង់	p r ɛe k ɑ ŋ
ប្រែកាយ	p r aɛ k aː j
ពព្លិកពព្លាក់	p ɔː pʰ l i c p ɔː pʰ l ɛă ʔ
ពុទ្ធិកវិទ្យាល័យ	p ʋ t tʰ i k a ʔ β̞ i tʰ j iɜ l ai
ពេកក្ដាត់	p eː c kʰ d a t
ព្លិការ	pʰ l i k aː
វិទ្យាធិការ	β̞ i tʰ j iɜ tʰ i k aː
វេមានិកប្រេតី	β̞ eː m iɜ n i k a ʔ p r aɛ t ɜi
វេមានិកប្រេត	β̞ eː m iɜ n i k a ʔ p r aɛ t
សាកលវិទ្យាធិការ	s aː k ɑ l β̞ i tʰ j iɜ tʰ i k aː
សិក្សាធិការ	s ɜ k s aː tʰ i k aː
ស្តនិកសត្វ	s t a ʔ n i k a ʔ s a t
អាហ្វ្រិកខាងត្បូង	ʔ aː h β̞ r i c kʰ aː ŋ tʰ b oʊ ŋ
អេកូណូមិក្លាស	ʔ ɛe k oʊ n oʊ m i kʰ l aː h
អំព្រំប្រែក្រោយ	ʔ ɑ m p r ʋ m p r aɛ k r aɔ j
រឃិករឃុក	r ɔː kʰ i c r ɔː kʰ ʋ ʔ
ការក្តុកក្តួល	k aː kʰ t o ʔ kʰ t uɜ l
